A,B,C,D,E,F,G,H,I,J,K
2019-08-12 00:00:00,2880.25,2920.25,2930.75,2872.5,445370.0,-1.35,30.0,,21.40188274,3.298959594
2019-08-13 00:00:00,2932.0,2882.5,2944.25,2866.75,461080.0,1.8,31.0,,21.12522113,3.256314025
2019-08-14 00:00:00,2840.75,2930.0,2936.5,2835.75,569460.0,-3.11,32.0,,21.47333839,3.309974013
2019-08-15 00:00:00,2848.5,2836.0,2871.75,2817.75,719450.0,0.27,33.0,,20.78443265,3.20378372
2019-08-16 00:00:00,2891.5,2850.0,2894.75,2849.5,315810.0,1.51,34.0,,20.88703563,3.219599296
2019-08-19 00:00:00,2923.75,2893.0,2932.25,2892.25,211870.0,1.12,35.0,,21.20217336,3.268175706
2019-08-20 00:00:00,2898.25,2921.0,2932.75,2894.25,244060.0,-0.87,36.0,,21.40737933,3.299806857
2019-08-21 00:00:00,2929.25,2894.0,2932.5,2893.0,187680.0,1.07,37.0,,21.20950215,3.26930539
2019-08-22 00:00:00,2922.25,2931.75,2939.75,2904.0,264640.0,-0.24,38.0,,21.48616376,3.31195096
2019-08-23 00:00:00,2855.5,2920.25,2936.75,2834.0,501970.0,-2.28,39.0,,21.40188274,3.298959594
2019-08-26 00:00:00,2883.25,2833.75,2888.25,2810.0,354110.0,0.97,40.0,,20.76794289,3.201241931
2019-08-27 00:00:00,2865.5,2883.25,2899.5,2860.0,301020.0,-0.62,41.0,,21.13071772,3.257161288
2019-08-28 00:00:00,2889.75,2865.5,2891.0,2851.75,275590.0,0.85,42.0,,21.00063179,3.237109397
2019-08-29 00:00:00,2926.75,2884.25,2930.75,2875.25,256910.0,1.28,43.0,,21.1380465,3.258290972
2019-08-30 00:00:00,2924.75,2923.75,2946.5,2913.25,259820.0,-0.07,44.0,,21.42753348,3.302913488
2019-09-03 00:00:00,2906.0,2913.5,2926.5,2889.0,394440.0,-0.64,45.0,,21.35241344,3.316537509
2019-09-04 00:00:00,2938.5,2903.25,2939.5,2902.0,217290.0,1.12,46.0,,21.2772934,3.30486958
2019-09-05 00:00:00,2972.0,2937.75,2986.75,2936.5,291350.0,1.14,47.0,,21.53013647,3.34414212
2019-09-06 00:00:00,2980.75,2971.0,2988.25,2970.25,220130.0,0.29,48.0,,21.77381855,3.381991741
2019-09-09 00:00:00,2978.25,2980.0,2991.75,2969.25,181050.0,-0.08,49.0,,21.83977761,3.392236752
2019-09-10 00:00:00,2978.5,2979.25,2984.75,2957.25,259700.0,0.01,50.0,,21.83428102,3.391383001
2019-09-11 00:00:00,3002.0,2979.5,3004.5,2972.25,204350.0,0.79,51.0,,21.83611322,3.391667584
2019-09-12 00:00:00,3011.75,3002.5,3021.75,3001.0,319500.0,0.32,52.0,,22.00467526,3.417849277
2019-09-13 00:00:00,3006.5,3010.5,3024.0,3003.5,49790.0,-0.17,53.0,,22.06330553,3.426955953
2019-09-16 00:00:00,2999.0,2997.75,3003.25,2981.0,30300.0,-0.25,54.0,,21.96986353,3.412442189
2019-09-17 00:00:00,3005.5,3001.75,3006.5,2991.25,18360.0,0.22,55.0,,21.99917867,3.416995526
2019-09-18 00:00:00,3006.25,3005.75,3011.25,2978.25,20190.0,0.02,56.0,,22.02849381,3.421548864
2019-09-19 00:00:00,3006.0,3007.5,3022.25,2989.0,13730.0,-0.01,57.0,,22.04131918,3.42354095
2019-09-20 00:00:00,3013.61,3004.75,3016.25,3003.25,1650.0,0.25,58.0,,22.02116502,3.42041053
2019-09-23 00:00:00,2997.0,2995.0,3008.0,2982.0,243010.0,-0.55,59.0,,21.94970938,3.409311769
2019-09-24 00:00:00,2970.25,3002.25,3012.5,2958.5,479000.0,-0.89,60.0,,22.00284306,3.417564694
2019-09-25 00:00:00,2986.25,2972.0,2991.75,2953.5,301210.0,0.54,61.0,,21.78114733,3.383130076
2019-09-26 00:00:00,2980.5,2987.0,2995.5,2964.25,277250.0,-0.19,62.0,,21.8910791,3.400205093
2019-09-27 00:00:00,2963.75,2981.25,2993.0,2946.0,361740.0,-0.56,63.0,,21.84893859,3.39365967
2019-09-30 00:00:00,2978.5,2975.25,2986.25,2964.5,199860.0,0.5,64.0,22.4,22.37555817,3.293402468
2019-10-01 00:00:00,2937.75,2984.25,2994.25,2936.75,331880.0,-1.37,65.0,,22.44324324,3.303364865
2019-10-02 00:00:00,2880.5,2942.25,2949.0,2874.0,404900.0,-1.95,66.0,,22.12737955,3.256873678
2019-10-03 00:00:00,2911.75,2884.5,2913.0,2855.0,424730.0,1.08,67.0,,21.69306698,3.192948296
2019-10-04 00:00:00,2951.0,2912.25,2953.25,2890.25,322580.0,1.35,68.0,,21.90176263,3.223665687
2019-10-07 00:00:00,2937.5,2937.25,2959.25,2926.5,271880.0,-0.46,69.0,,22.08977673,3.251339013
2019-10-08 00:00:00,2892.5,2935.25,2950.0,2890.75,437170.0,-1.53,70.0,,22.07473561,3.249125147
2019-10-09 00:00:00,2919.0,2894.0,2932.0,2888.25,286740.0,0.92,71.0,,21.76451234,3.20346416
2019-10-10 00:00:00,2941.0,2920.0,2953.75,2881.75,403090.0,0.75,72.0,,21.960047,3.232244418
2019-10-11 00:00:00,2970.75,2948.5,2993.75,2941.75,349490.0,1.01,73.0,,22.17438308,3.263792009
2019-10-14 00:00:00,2965.5,2967.75,2982.25,2954.0,210620.0,-0.18,74.0,,22.31915394,3.28510047
2019-10-15 00:00:00,2997.75,2967.0,3003.25,2966.25,229520.0,1.09,75.0,,22.31351351,3.28427027
2019-10-16 00:00:00,2991.5,2998.25,2998.25,2984.75,233210.0,-0.21,76.0,,22.54853114,3.318861927
2019-10-17 00:00:00,2998.0,2992.5,3008.0,2985.25,250870.0,0.22,77.0,,22.5052879,3.312497062
2019-10-18 00:00:00,2988.25,2998.5,3001.0,2975.0,263670.0,-0.33,78.0,,22.55041128,3.31913866
2019-10-21 00:00:00,3006.5,2985.0,3007.5,2983.75,183090.0,0.61,79.0,,22.44888367,3.304195065
2019-10-22 00:00:00,2994.5,3006.75,3014.0,2988.0,258330.0,-0.4,80.0,,22.61245593,3.328270858
2019-10-23 00:00:00,3005.75,2991.75,3007.0,2982.0,202710.0,0.38,81.0,,22.49964747,3.311666863
2019-10-24 00:00:00,3004.25,3005.5,3015.5,2998.5,225500.0,-0.05,82.0,,22.60305523,3.326887192
2019-10-25 00:00:00,3020.25,3004.0,3026.5,3000.0,197830.0,0.53,83.0,,22.59177438,3.325226792
2019-10-28 00:00:00,3036.25,3023.0,3042.75,3022.0,177810.0,0.53,84.0,,22.7346651,3.346258519
2019-10-29 00:00:00,3035.75,3039.0,3046.0,3029.5,204830.0,-0.02,85.0,,22.85499412,3.363969448
2019-10-30 00:00:00,3047.75,3036.25,3055.5,3023.25,251590.0,0.4,86.0,,22.83431257,3.360925382
2019-10-31 00:00:00,3035.75,3052.5,3052.75,3020.0,339180.0,-0.39,87.0,,22.95652174,3.382561146
2019-11-01 00:00:00,3063.25,3036.75,3065.25,3033.0,193990.0,0.91,88.0,,22.83807286,3.365108128
2019-11-04 00:00:00,3075.75,3064.25,3083.5,3064.25,174840.0,0.41,89.0,,23.04488837,3.395581652
2019-11-05 00:00:00,3072.0,3077.25,3085.75,3069.75,197390.0,-0.12,90.0,,23.1426557,3.409987318
2019-11-06 00:00:00,3075.5,3071.75,3078.0,3063.25,217610.0,0.11,91.0,,23.1012926,3.403892613
2019-11-07 00:00:00,3086.0,3077.25,3097.5,3070.25,205060.0,0.34,92.0,,23.1426557,3.409987318
2019-11-08 00:00:00,3090.5,3086.5,3092.5,3072.5,155420.0,0.15,93.0,,23.21222092,3.420237503
2019-11-11 00:00:00,3087.5,3091.0,3092.0,3074.5,114090.0,-0.1,94.0,,23.24606345,3.42522408
2019-11-12 00:00:00,3092.0,3087.75,3102.0,3081.25,164990.0,0.15,95.0,,23.22162162,3.421622663
2019-11-13 00:00:00,3095.5,3091.5,3097.0,3075.75,203290.0,0.11,96.0,,23.24982374,3.425778144
2019-11-14 00:00:00,3097.0,3096.25,3099.75,3081.75,176970.0,0.05,97.0,,23.28554642,3.431041752
2019-11-15 00:00:00,3118.25,3097.5,3119.5,3095.75,156320.0,0.69,98.0,,23.29494712,3.432426913
2019-11-18 00:00:00,3121.75,3119.25,3128.0,3111.0,159080.0,0.11,99.0,,23.45851939,3.4565287
2019-11-19 00:00:00,3118.5,3122.0,3132.5,3112.75,185560.0,-0.1,100.0,,23.47920094,3.459576052
2019-11-20 00:00:00,3109.0,3116.25,3118.5,3090.75,288460.0,-0.3,101.0,,23.4359577,3.453204315
2019-11-21 00:00:00,3104.0,3099.75,3114.5,3091.25,246820.0,-0.16,102.0,,23.31186839,3.434920201
2019-11-22 00:00:00,3111.5,3103.75,3114.5,3097.75,167390.0,0.24,103.0,,23.34195065,3.439352713
2019-11-25 00:00:00,3132.75,3117.5,3133.5,3116.5,106470.0,0.68,104.0,,23.4453584,3.454589475
2019-11-26 00:00:00,3143.75,3131.25,3144.75,3128.0,147560.0,0.35,105.0,,23.54876616,3.469826237
2019-11-27 00:00:00,3153.75,3143.75,3155.0,3141.75,109230.0,0.32,106.0,,23.64277321,3.483677839
2019-11-29 00:00:00,3143.75,3154.25,3155.5,3139.5,117740.0,-0.32,107.0,,23.72173913,3.495313185
2019-12-02 00:00:00,3114.25,3145.0,3157.75,3110.25,337300.0,-0.94,108.0,,23.65217391,3.513351529
2019-12-03 00:00:00,3091.0,3114.0,3122.0,3069.5,398050.0,-0.75,109.0,,23.41903643,3.478720719
2019-12-04 00:00:00,3111.0,3091.75,3119.5,3081.75,251920.0,0.65,110.0,,23.25170388,3.453864735
2019-12-05 00:00:00,3117.75,3110.75,3124.75,3103.5,263470.0,0.22,111.0,,23.39459459,3.47509007
2019-12-06 00:00:00,3146.0,3117.5,3151.25,3117.0,192300.0,0.91,112.0,,23.4453584,3.482630649
2019-12-09 00:00:00,3134.5,3146.5,3149.5,3131.25,159700.0,-0.37,113.0,,23.66345476,3.515027214
2019-12-10 00:00:00,3136.0,3133.25,3143.0,3116.25,260450.0,0.05,114.0,,23.56380729,3.500225335
2019-12-11 00:00:00,3143.0,3136.0,3144.5,3129.75,189580.0,0.22,115.0,,23.58448884,3.503297423
2019-12-12 00:00:00,3168.0,3143.75,3177.25,3137.0,382960.0,0.8,116.0,,23.64277321,3.511955126
2019-12-13 00:00:00,3172.0,3173.75,3185.0,3156.75,78100.0,0.13,117.0,,23.86839013,3.545468813
2019-12-16 00:00:00,3194.25,3175.0,3198.75,3173.75,19690.0,0.7,118.0,,23.87779083,3.546865216
2019-12-17 00:00:00,3192.0,3192.5,3199.25,3187.75,13570.0,-0.07,119.0,,24.00940071,3.566414867
2019-12-18 00:00:00,3194.75,3189.75,3198.75,3188.0,8340.0,0.09,120.0,,23.98871915,3.563342779
2019-12-19 00:00:00,3207.0,3195.5,3209.25,3190.25,7320.0,0.38,121.0,,24.0319624,3.569766236
2019-12-20 00:00:00,3231.02,3207.75,3221.75,3204.0,1450.0,0.75,122.0,,24.12408931,3.583450991
2019-12-23 00:00:00,3227.25,3226.25,3234.25,3224.25,88120.0,-0.12,123.0,,24.26321974,3.604117765
2019-12-24 00:00:00,3225.75,3227.5,3231.0,3222.5,40940.0,-0.05,124.0,,24.27262045,3.605514169
2019-12-26 00:00:00,3244.5,3226.75,3244.75,3226.75,59830.0,0.58,125.0,,24.26698002,3.604676327
2019-12-27 00:00:00,3237.5,3241.75,3254.0,3235.5,151910.0,-0.22,126.0,,24.37978848,3.62143317
2019-12-30 00:00:00,3223.5,3237.5,3244.5,3217.25,191800.0,-0.43,127.0,,24.34782609,3.616685398
2019-12-31 00:00:00,3231.0,3223.0,3236.0,3213.0,144320.0,0.23,128.0,23.16,23.10265552,3.524252244
2020-01-02 00:00:00,3259.0,3237.0,3261.75,3234.25,178830.0,0.87,129.0,,23.20300836,3.539560817
2020-01-03 00:00:00,3235.5,3260.75,3263.25,3207.0,310880.0,-0.72,130.0,,23.37324977,3.565530718
2020-01-06 00:00:00,3243.5,3222.75,3249.5,3208.75,246530.0,0.25,131.0,,23.10086351,3.523978877
2020-01-07 00:00:00,3235.25,3243.0,3254.5,3226.0,221750.0,-0.25,132.0,,23.24601671,3.546121634
2020-01-08 00:00:00,3260.25,3232.0,3267.5,3181.0,488410.0,0.77,133.0,,23.16716806,3.53409347
2020-01-09 00:00:00,3276.0,3259.75,3276.75,3257.75,198450.0,0.48,134.0,,23.36608171,3.564437249
2020-01-10 00:00:00,3264.75,3275.5,3287.0,3260.75,218020.0,-0.34,135.0,,23.47897864,3.581659393
2020-01-13 00:00:00,3289.75,3265.75,3291.0,3265.5,156700.0,0.77,136.0,,23.40909006,3.570998066
2020-01-14 00:00:00,3288.0,3289.0,3296.5,3275.25,267620.0,-0.05,137.0,,23.57574745,3.596421232
2020-01-15 00:00:00,3293.75,3287.5,3299.0,3278.0,235400.0,0.17,138.0,,23.56499536,3.594781028
2020-01-16 00:00:00,3316.5,3293.75,3318.0,3293.75,176500.0,0.69,139.0,,23.60979573,3.601615212
2020-01-17 00:00:00,3325.0,3316.75,3330.25,3316.0,172210.0,0.26,140.0,,23.7746611,3.626765011
2020-01-21 00:00:00,3319.5,3324.5,3330.0,3307.25,262270.0,-0.17,141.0,,23.83021356,3.6352394
2020-01-22 00:00:00,3319.75,3320.5,3337.5,3315.25,221790.0,0.01,142.0,,23.80154132,3.630865522
2020-01-23 00:00:00,3326.0,3317.0,3327.0,3301.5,349430.0,0.19,143.0,,23.77645311,3.627038378
2020-01-24 00:00:00,3293.5,3326.25,3337.0,3280.5,521300.0,-0.98,144.0,,23.84275766,3.637152971
2020-01-27 00:00:00,3239.5,3273.0,3273.0,3233.0,521500.0,-1.64,145.0,,23.4610585,3.57892572
2020-01-28 00:00:00,3278.25,3239.5,3285.0,3238.5,349140.0,1.2,146.0,,23.22092851,3.542294491
2020-01-29 00:00:00,3272.5,3282.25,3292.75,3265.25,379820.0,-0.18,147.0,,23.52736305,3.589040313
2020-01-30 00:00:00,3289.75,3272.0,3295.25,3239.5,541850.0,0.53,148.0,,23.45389044,3.57783225
2020-01-31 00:00:00,3224.0,3292.75,3297.5,3212.5,642180.0,-2.0,149.0,,23.60262767,3.602211306
2020-02-03 00:00:00,3245.5,3222.0,3267.25,3221.5,386180.0,0.67,150.0,,23.09548747,3.524812035
2020-02-04 00:00:00,3299.5,3244.75,3305.25,3236.0,356580.0,1.66,151.0,,23.25856082,3.54970014
2020-02-05 00:00:00,3335.0,3299.25,3338.25,3288.25,416320.0,1.08,152.0,,23.64922006,3.609322193
2020-02-06 00:00:00,3345.25,3336.0,3357.5,3332.5,291380.0,0.31,153.0,,23.91264624,3.649526055
2020-02-07 00:00:00,3325.5,3348.75,3350.0,3320.75,382350.0,-0.59,154.0,,24.004039,3.663474333
2020-02-10 00:00:00,3353.0,3322.0,3353.5,3303.25,277250.0,0.83,155.0,,23.81229341,3.634210298
2020-02-11 00:00:00,3357.5,3350.75,3374.5,3349.5,281600.0,0.13,156.0,,24.01837512,3.665662298
2020-02-12 00:00:00,3380.5,3359.75,3381.5,3355.5,215750.0,0.69,157.0,,24.08288765,3.675508142
2020-02-13 00:00:00,3377.5,3380.25,3384.75,3348.5,325470.0,-0.09,158.0,,24.22983287,3.697934786
2020-02-14 00:00:00,3381.0,3379.0,3388.25,3365.25,236870.0,0.1,159.0,,24.22087279,3.696567308
2020-02-18 00:00:00,3369.25,3381.25,3392.5,3355.25,333630.0,-0.35,160.0,,24.23700093,3.699028769
2020-02-19 00:00:00,3387.25,3371.5,3394.0,3370.75,213910.0,0.53,161.0,,24.16711235,3.688362438
2020-02-20 00:00:00,3369.25,3391.25,3397.5,3339.5,554870.0,-0.53,162.0,,24.30868152,3.709968595
2020-02-21 00:00:00,3339.25,3366.75,3369.5,3327.75,477930.0,-0.89,163.0,,24.13306407,3.68316602
2020-02-24 00:00:00,3226.25,3315.0,3315.0,3213.75,824520.0,-3.38,164.0,,23.76211699,3.626552419
2020-02-25 00:00:00,3132.5,3224.25,3259.5,3117.25,1150000.0,-2.91,165.0,,23.1116156,3.527273496
2020-02-26 00:00:00,3110.25,3139.0,3182.0,3090.5,1070000.0,-0.71,166.0,,22.50053853,3.434011476
2020-02-27 00:00:00,2957.0,3101.25,3117.0,2944.5,1280000.0,-4.93,167.0,,22.22994429,3.392713632
2020-02-28 00:00:00,2951.0,2950.5,2995.75,2853.0,1740000.0,-0.2,168.0,,21.14935933,3.227795751
2020-03-02 00:00:00,3065.0,2904.0,3093.0,2888.0,946820.0,3.86,169.0,,20.81604457,3.06033279
2020-03-03 00:00:00,2997.0,3077.0,3136.5,2973.0,1100000.0,-2.22,170.0,,22.05611885,3.242646003
2020-03-04 00:00:00,3114.75,2988.75,3129.25,2976.75,647060.0,3.93,171.0,,21.4235376,3.149645188
2020-03-05 00:00:00,3015.5,3110.0,3114.0,2996.75,718120.0,-3.19,172.0,,22.29266481,3.277422512
2020-03-06 00:00:00,2964.0,3024.0,3037.0,2898.0,913070.0,-1.71,173.0,,21.6762117,3.186792822
2020-03-09 00:00:00,2747.75,2916.5,2917.0,2713.5,806070.0,-7.3,174.0,,20.90564531,3.07350571
2020-03-10 00:00:00,2865.75,2733.5,2884.75,2694.75,1060000.0,4.29,175.0,,19.59389044,2.88065416
2020-03-11 00:00:00,2740.25,2861.75,2869.5,2703.0,1110000.0,-4.38,176.0,,20.51319406,3.01580832
2020-03-12 00:00:00,2469.0,2738.25,2773.5,2442.0,1450000.0,-9.9,177.0,,19.62793872,2.885659869
2020-03-13 00:00:00,2696.0,2433.0,2708.5,2393.25,503890.0,9.19,178.0,,17.43988858,2.563977162
2020-03-16 00:00:00,2416.25,2673.75,2698.5,2351.0,190090.0,-10.38,179.0,,19.16559889,2.817687602
2020-03-17 00:00:00,2495.5,2420.75,2554.25,2365.0,167280.0,3.28,180.0,,17.35207985,2.5510677
2020-03-18 00:00:00,2414.0,2478.75,2498.75,2273.5,95460.0,-3.27,181.0,,17.7678273,2.612190049
2020-03-19 00:00:00,2403.25,2414.25,2474.25,2287.25,101130.0,-0.45,182.0,,17.30548747,2.544217781
2020-03-20 00:00:00,2437.98,2365.0,2513.0,2343.0,9890.0,1.45,183.0,,16.95246054,2.492316476
2020-03-23 00:00:00,2220.5,2220.5,2385.5,2174.0,1320000.0,-8.92,184.0,,15.91667595,2.34003752
2020-03-24 00:00:00,2438.0,2233.25,2448.0,2230.25,1060000.0,9.8,185.0,,16.00806871,2.353473899
2020-03-25 00:00:00,2467.0,2442.5,2561.5,2378.25,1400000.0,1.19,186.0,,17.50798514,2.573988581
2020-03-26 00:00:00,2608.0,2471.5,2626.0,2401.75,1150000.0,5.72,187.0,,17.71585887,2.604549755
2020-03-27 00:00:00,2524.0,2627.0,2635.0,2505.5,1020000.0,-3.22,188.0,,18.83049211,2.768420881
2020-03-30 00:00:00,2611.25,2465.0,2621.5,2447.0,944240.0,3.46,189.0,,17.66926648,2.597699837
2020-03-31 00:00:00,2569.75,2612.25,2639.25,2555.75,864900.0,-1.59,190.0,22.22,22.58748711,2.966259558
2020-04-01 00:00:00,2448.0,2562.5,2562.5,2434.25,884680.0,-4.74,191.0,,22.15731102,2.909767487
2020-04-02 00:00:00,2516.5,2458.25,2525.0,2424.75,1060000.0,2.8,192.0,,21.25588676,2.791389629
2020-04-03 00:00:00,2482.75,2514.0,2529.5,2448.75,823090.0,-1.34,193.0,,21.73794338,2.854694815
2020-04-06 00:00:00,2644.5,2483.25,2668.5,2483.25,758940.0,6.51,194.0,,21.47205565,2.819777605
2020-04-07 00:00:00,2642.0,2645.5,2749.0,2623.75,1180000.0,-0.09,195.0,,22.87499173,3.004015566
2020-04-08 00:00:00,2735.0,2640.75,2752.5,2620.75,989640.0,3.52,196.0,,22.83391964,2.99862185
2020-04-09 00:00:00,2779.75,2737.5,2809.75,2700.25,1110000.0,1.64,197.0,,23.67049324,3.108483315
2020-04-13 00:00:00,2759.25,2807.0,2820.5,2710.25,800020.0,-0.74,198.0,,24.27144275,3.187401887
2020-04-14 00:00:00,2843.0,2760.5,2848.75,2752.5,735110.0,3.04,199.0,,23.86936862,3.134600253
2020-04-15 00:00:00,2775.0,2843.5,2845.75,2751.25,861140.0,-2.39,200.0,,24.58704932,3.228848332
2020-04-16 00:00:00,2787.5,2767.5,2831.5,2746.5,960930.0,0.45,201.0,,23.9298959,3.142548886
2020-04-17 00:00:00,2870.0,2858.0,2885.25,2821.0,958260.0,2.96,202.0,,24.71242728,3.245313357
2020-04-20 00:00:00,2806.5,2861.75,2875.75,2804.25,951290.0,-2.21,203.0,,24.74485261,3.249571554
2020-04-21 00:00:00,2732.0,2807.0,2833.25,2717.25,1350000.0,-2.65,204.0,,24.27144275,3.187401887
2020-04-22 00:00:00,2788.5,2737.25,2808.0,2717.25,844260.0,2.07,205.0,,23.66833155,3.108199436
2020-04-23 00:00:00,2780.75,2790.25,2836.75,2772.5,1100000.0,-0.28,206.0,,24.12660959,3.168381944
2020-04-24 00:00:00,2829.5,2777.0,2836.0,2755.0,718260.0,1.75,207.0,,24.01204008,3.153336317
2020-04-27 00:00:00,2869.0,2828.75,2883.0,2812.75,695130.0,1.4,208.0,,24.45950968,3.212099426
2020-04-28 00:00:00,2867.25,2867.75,2913.5,2851.25,974950.0,-0.06,209.0,,24.79673315,3.256384668
2020-04-29 00:00:00,2941.0,2870.75,2959.5,2860.75,912840.0,2.57,210.0,,24.82267341,3.259791225
2020-04-30 00:00:00,2902.5,2956.5,2965.25,2878.25,1130000.0,-1.31,211.0,,25.5641327,3.350190698
2020-05-01 00:00:00,2821.75,2873.0,2879.5,2811.75,990940.0,-2.78,212.0,,24.84212861,3.255571748
2020-05-04 00:00:00,2825.25,2793.0,2835.75,2770.75,886990.0,0.12,213.0,,24.15038817,3.164918863
2020-05-05 00:00:00,2858.25,2827.0,2889.5,2824.5,760650.0,1.17,214.0,,24.44437786,3.203446339
2020-05-06 00:00:00,2833.5,2857.5,2886.25,2832.0,888870.0,-0.87,215.0,,24.7081039,3.238007752
2020-05-07 00:00:00,2880.0,2832.25,2894.75,2823.25,833230.0,1.64,216.0,,24.48977332,3.209395435
2020-05-08 00:00:00,2928.5,2881.75,2932.75,2879.25,641600.0,1.68,217.0,,24.91778772,3.265486908
2020-05-11 00:00:00,2922.75,2921.0,2946.5,2889.5,801760.0,-0.2,218.0,,25.25717288,3.30996348
2020-05-12 00:00:00,2852.5,2919.0,2939.75,2838.0,974690.0,-2.4,219.0,,25.23987937,3.307697158
2020-05-13 00:00:00,2813.0,2840.0,2876.5,2786.25,1540000.0,-1.38,220.0,,24.55678568,3.218177433
2020-05-14 00:00:00,2847.0,2820.25,2853.75,2760.25,1350000.0,1.21,221.0,,24.38601226,3.195797502
2020-05-15 00:00:00,2846.5,2846.0,2863.0,2809.5,1150000.0,-0.02,222.0,,24.60866621,3.2249764
2020-05-18 00:00:00,2948.0,2860.0,2964.5,2850.0,768820.0,3.57,223.0,,24.72972079,3.240840655
2020-05-19 00:00:00,2918.75,2945.0,2976.25,2913.75,921190.0,-0.99,224.0,,25.46469501,3.337159345
2020-05-20 00:00:00,2968.5,2913.75,2975.75,2908.5,865160.0,1.7,225.0,,25.1944839,3.301748062
2020-05-21 00:00:00,2937.0,2972.0,2973.5,2933.0,1080000.0,-1.06,226.0,,25.69815741,3.367754694
2020-05-22 00:00:00,2953.0,2936.75,2957.25,2903.75,866850.0,0.54,227.0,,25.39335928,3.327810767
2020-05-26 00:00:00,2994.5,2948.75,3019.75,2947.75,1020000.0,1.41,228.0,,25.49712034,3.341408699
2020-05-27 00:00:00,3035.5,2994.25,3039.75,2965.5,1170000.0,1.37,229.0,,25.89054772,3.392967528
2020-05-28 00:00:00,3038.0,3034.5,3065.5,3019.5,958720.0,0.08,230.0,,26.23857963,3.438577261
2020-05-29 00:00:00,3042.0,3036.0,3058.5,2992.25,1180000.0,0.13,231.0,,26.25154976,3.440277003
2020-06-01 00:00:00,3054.0,3032.0,3058.75,3007.75,714750.0,0.39,232.0,,26.21696274,3.413233792
2020-06-02 00:00:00,3077.0,3052.75,3079.25,3034.25,764710.0,0.75,233.0,,26.39638292,3.436592829
2020-06-03 00:00:00,3117.75,3077.75,3129.5,3074.25,732400.0,1.32,234.0,,26.6125518,3.464736248
